ProcessName,PID,FilePath,SHA256Hash
QuickShareService,6480,C:\Program Files\WindowsApps\SAMSUNGELECTRONICSCoLtd.SamsungQuickShare_2.2.19.0_x64__wyx1vj98g3asy\QuickShareService\QuickShareService.exe,DFA64F1B7F890B62A7B6548B21C2ADF402011D3374AE58D6EF4FDB050AEC7E60
qvWindowsService,4528,C:\Program Files\Samsung\SmartSwitch\qvWindowsService.exe,FA9FD1DFF7A2FE1AE80AA650F496610D9322BBF0FBCC04795652D8B33ECA0B49
RtkAudUService64,4224,C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_5349479f7c9fe8a6\RtkAudUService64.exe,A8DE7198640EF70EE1AD789DAEC70E80B705CD4BA8E550D966630137F3CB9F26
RtkAudUService64,13760,C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_5349479f7c9fe8a6\RtkAudUService64.exe,A8DE7198640EF70EE1AD789DAEC70E80B705CD4BA8E550D966630137F3CB9F26
RuntimeBroker,2328,C:\Windows\System32\RuntimeBroker.exe,EA3ACD22AA7823BAE51420B707551F46A291F76E10285CD0ECE61A9BDF16734B
RuntimeBroker,7340,C:\Windows\System32\RuntimeBroker.exe,EA3ACD22AA7823BAE51420B707551F46A291F76E10285CD0ECE61A9BDF16734B
RuntimeBroker,10984,C:\Windows\System32\RuntimeBroker.exe,EA3ACD22AA7823BAE51420B707551F46A291F76E10285CD0ECE61A9BDF16734B
RuntimeBroker,13508,C:\Windows\System32\RuntimeBroker.exe,EA3ACD22AA7823BAE51420B707551F46A291F76E10285CD0ECE61A9BDF16734B
RuntimeBroker,18180,C:\Windows\System32\RuntimeBroker.exe,EA3ACD22AA7823BAE51420B707551F46A291F76E10285CD0ECE61A9BDF16734B
SamsungAnalyticsService,6396,C:\Program Files\WindowsApps\SAMSUNGELECTRONICSCO.LTD.SamsungAnalyticsAgent_2.2.14.0_x64__3c1yjt4zspk6g\SamsungAnalyticsService\SamsungAnalyticsService.exe,E93198488811DAD0FDFED9D0567545758B050B6CC77D4A7D2F4CD6F7D5052E1F
SamsungMultiControlService,6352,C:\Program Files\WindowsApps\SAMSUNGELECTRONICSCoLtd.MultiControl_2.5.1400.0_x64__wyx1vj98g3asy\MultiControlService\SamsungMultiControlService.exe,4F604C0A8E6ADA7E462184503898B427C43699821F8AEC3E979753952AF075B6
SamsungSettingsHost,12796,C:\Program Files\WindowsApps\SAMSUNGELECTRONICSCO.LTD.SamsungSettings1.5_7.1.7.0_x64__3c1yjt4zspk6g\SamsungSettingsHost.exe,B5BFE193375018535643BD004A40FB989F8661514A01B3CBDF0FE114D9FF56B7
SamsungSystemSupportEngine,9496,C:\WINDOWS\System32\DriverStore\FileRepository\sfourswcomp15.inf_amd64_949b753b0896b346\SamsungSystemSupportEngine.exe,ED51C2B831B5A9839F57B8DB1CD2061CC2381F27B9CD40F90A0B0E5DCF79FB1A
SamsungSystemSupportService,4492,C:\WINDOWS\System32\DriverStore\FileRepository\sfourswcomp15.inf_amd64_949b753b0896b346\SamsungSystemSupportService.exe,631FCB86CA4AB96E12A8AA08A1DDE973D5C0430C8A2421B462E84AB09B486488
SAService,6448,C:\Program Files\WindowsApps\SAMSUNGELECTRONICSCO.LTD.SamsungAccount_1.25.5230.0_x64__3c1yjt4zspk6g\SAService\SAService.exe,98C4D62E1627E39CDDEEB6E9ACD56F6B432F0FC7B961675EABDBF0A2716269E7
ScreenMode,12512,C:\Program Files\WindowsApps\SAMSUNGELECTRONICSCO.LTD.SamsungSettings1.5_7.1.7.0_x64__3c1yjt4zspk6g\Extensions\ScreenMode.exe,00B93974F5253CE6B6D49B91AE9E1CD6A3AF918E9BCAEB9F518991A08E239ED9
SearchHost,13548,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,C5D6C0EB18D60AE33EED1B65F3B559BC3038710A3638AB9F87702AA122C8CBB5
SearchIndexer,12136,C:\WINDOWS\system32\SearchIndexer.exe,ED3599930A267A8575B718E9680CA14C9F23296DD7F13A9015A9E580372D39BA
SecondScreen,10280,C:\Program Files\WindowsApps\SAMSUNGELECTRONICSCoLtd.SecondScreen_1.13.7.0_x64__wyx1vj98g3asy\SecondScreen.exe,BACE3C76C95C410A32A2C0FD5DB2BAE73829E2489C8E683030CFFC2C60B782A8
SecondScreenDesktop,8380,C:\Program Files\WindowsApps\SAMSUNGELECTRONICSCoLtd.SecondScreen_1.13.7.0_x64__wyx1vj98g3asy\SecondScreenDesktop\SecondScreenDesktop.exe,4649FCC41A09F5646A460276E5B4E7AC50AA29A76F376B4CB533B9076591CB7E
ShellExperienceHost,4952,C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,99C8B84F2247192B857CBD80E1286DD0D4B807A5E40398414174B7CB93F93430
ShellHost,25024,C:\Windows\System32\ShellHost.exe,A05008FB6E25C3200322A79CF12DAD058493A448B7E1B1922C64FDF7BFC8CE63
sihost,4828,C:\WINDOWS\system32\sihost.exe,88BA1D483AB3DD92F552847CCE06F2457BA1792E32A4D8829AD582CFFAC63011
smartscreen,21732,C:\Windows\System32\smartscreen.exe,C59D1100EA05FFB8765242583462C8436E87770CEA8D6BFCA35BE364DA8C2391
spoolsv,3944,C:\WINDOWS\System32\spoolsv.exe,B3F5511A44E6126EA4A284DF7616C446E5104F35C2D2EBA69B7E028D5758495C
StartMenuExperienceHost,9552,C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,92A0004D16AE425AAB484DE3312B8A65E84226F8F5ED2FC0B26E49B1E83E1EE4
StudiomodeSvc,4512,C:\Program Files (x86)\Samsung\Studiomode\StudiomodeSvc.exe,AB7FEC5909A9D886B06840275F8AA83765696056E74174183D1376F203ED10C2
svchost,384,C:\WINDOWS\system32\svchost.exe,53A39B900E3BFBF384ACD13F0FC2329FA8D42B61E993D8ED5ADF3A1428005D26
svchost,756,C:\WINDOWS\System32\svchost.exe,53A39B900E3BFBF384ACD13F0FC2329FA8D42B61E993D8ED5ADF3A1428005D26
svchost,1120,C:\WINDOWS\system32\svchost.exe,53A39B900E3BFBF384ACD13F0FC2329FA8D42B61E993D8ED5ADF3A1428005D26
svchost,1172,C:\WINDOWS\system32\svchost.exe,53A39B900E3BFBF384ACD13F0FC2329FA8D42B61E993D8ED5ADF3A1428005D26
svchost,1364,C:\WINDOWS\system32\svchost.exe,53A39B900E3BFBF384ACD13F0FC2329FA8D42B61E993D8ED5ADF3A1428005D26
svchost,1476,C:\WINDOWS\system32\svchost.exe,53A39B900E3BFBF384ACD13F0FC2329FA8D42B61E993D8ED5ADF3A1428005D26
svchost,1604,C:\WINDOWS\system32\svchost.exe,53A39B900E3BFBF384ACD13F0FC2329FA8D42B61E993D8ED5ADF3A1428005D26
svchost,1656,C:\WINDOWS\system32\svchost.exe,53A39B900E3BFBF384ACD13F0FC2329FA8D42B61E993D8ED5ADF3A1428005D26
svchost,1904,C:\WINDOWS\system32\svchost.exe,53A39B900E3BFBF384ACD13F0FC2329FA8D42B61E993D8ED5ADF3A1428005D26
svchost,1920,C:\WINDOWS\system32\svchost.exe,53A39B900E3BFBF384ACD13F0FC2329FA8D42B61E993D8ED5ADF3A1428005D26
svchost,2004,C:\WINDOWS\system32\svchost.exe,53A39B900E3BFBF384ACD13F0FC2329FA8D42B61E993D8ED5ADF3A1428005D26
